Year,Month,Day,water_year,water_month,water_day,model,flow,rcp,month_name,period
2057,1,3,2057,4,95,HadGEM2-CC,380008.33,4.5,Jan,2050
2058,1,22,2058,4,114,HadGEM2-CC,262313.78,4.5,Jan,2050
2059,1,26,2059,4,118,CanESM2,600632.32,4.5,Jan,2050
2061,2,8,2061,5,131,CESM1-BGC,518140,4.5,Feb,2050
2061,12,13,2062,3,74,HadGEM2-CC,373020.08,4.5,Dec,2050
2063,2,17,2063,5,140,GFDL-CM3,544146.25,4.5,Feb,2050
2069,12,5,2070,3,66,HadGEM2-CC,362654.99,4.5,Dec,2085
2071,3,8,2071,6,159,CanESM2,372873.96,4.5,Mar,2085
2073,1,3,2073,4,95,CNRM-CM5,758274.55,4.5,Jan,2085
2074,2,7,2074,5,130,CNRM-CM5,328071.08,4.5,Feb,2085
2075,1,22,2075,4,114,ACCESS1-0,412255.17,4.5,Jan,2085
2077,1,22,2077,4,114,CanESM2,605075.52,4.5,Jan,2085
2078,2,6,2078,5,129,CNRM-CM5,617690.18,4.5,Feb,2085
2079,1,29,2079,4,121,HadGEM2-CC,441409.22,4.5,Jan,2085
2081,1,17,2081,4,109,CanESM2,588855.02,4.5,Jan,2085
2082,2,23,2082,5,146,CNRM-CM5,591964.31,4.5,Feb,2085
2083,1,17,2083,4,109,CESM1-BGC,561317.63,4.5,Jan,2085
2085,2,23,2085,5,146,CCSM4,483575.6,4.5,Feb,2085
2086,3,8,2086,6,159,CanESM2,630653.36,4.5,Mar,2085
2087,1,26,2087,4,118,GFDL-CM3,275406.64,4.5,Jan,2085
2089,3,16,2089,6,167,MIROC5,394191.03,4.5,Mar,2085
2090,2,10,2090,5,133,CNRM-CM5,341012.72,4.5,Feb,2085
2091,1,19,2091,4,111,CESM1-BGC,445144.34,4.5,Jan,2085
2093,2,13,2093,5,136,CanESM2,417316.32,4.5,Feb,2085
2094,1,11,2094,4,103,CanESM2,511609.75,4.5,Jan,2085
2095,2,1,2095,5,124,CMCC-CMS,473554.31,4.5,Feb,2085
2097,3,12,2097,6,163,CNRM-CM5,307704.09,4.5,Mar,2085
2098,1,10,2098,4,102,CanESM2,651043.54,4.5,Jan,2085
2099,2,24,2099,5,147,CanESM2,462620.33,4.5,Feb,2085
1984,1,23,1984,4,115,CESM1-BGC,381333.01,8.5,Jan,1996
1988,1,21,1988,4,113,HadGEM2-ES,392202.48,8.5,Jan,1996
1991,12,28,1992,3,89,GFDL-CM3,346054.34,8.5,Dec,1996
1996,3,17,1996,6,169,CanESM2,290964,8.5,Mar,1996
2000,1,17,2000,4,109,CESM1-BGC,325909.06,8.5,Jan,1996
2004,2,1,2004,5,124,HadGEM2-CC,398936.41,8.5,Feb,1996
2007,12,15,2008,3,76,ACCESS1-0,309312.77,8.5,Dec,1996
2036,2,3,2036,5,126,CNRM-CM5,399984.08,8.5,Feb,2050
2040,2,6,2040,5,129,CCSM4,307620.47,8.5,Feb,2050
2044,1,18,2044,4,110,CNRM-CM5,266490.83,8.5,Jan,2050
2048,3,6,2048,6,158,HadGEM2-ES,298354.08,8.5,Mar,2050
2052,2,13,2052,5,136,CanESM2,305705.23,8.5,Feb,2050
2056,1,17,2056,4,109,CNRM-CM5,463751.2,8.5,Jan,2050
2060,1,25,2060,4,117,MIROC5,604238.63,8.5,Jan,2050
2064,1,27,2064,4,119,CanESM2,702553.96,8.5,Jan,2050
2072,1,18,2072,4,110,CanESM2,562418.96,8.5,Jan,2085
2076,1,28,2076,4,120,MIROC5,354823.4,8.5,Jan,2085
2080,2,4,2080,5,127,CNRM-CM5,750569.04,8.5,Feb,2085
2084,1,12,2084,4,104,CCSM4,674611.29,8.5,Jan,2085
2088,2,8,2088,5,131,CESM1-BGC,474796.73,8.5,Feb,2085
2092,3,2,2092,6,154,CCSM4,434672.23,8.5,Mar,2085
2096,1,22,2096,4,114,HadGEM2-ES,486099.68,8.5,Jan,2085
1981,2,7,1981,5,130,CESM1-BGC,502983.24,8.5,Feb,1996
1982,3,1,1982,6,152,CESM1-BGC,458956.48,8.5,Mar,1996
1983,2,8,1983,5,131,CESM1-BGC,266649.61,8.5,Feb,1996
1985,2,5,1985,5,128,CNRM-CM5,651663.98,8.5,Feb,1996
1986,2,4,1986,5,127,HadGEM2-CC,332642.37,8.5,Feb,1996
1987,4,3,1987,7,185,HadGEM2-ES,165002.05,8.5,Apr,1996
1989,2,9,1989,5,132,ACCESS1-0,312209.31,8.5,Feb,1996
1990,2,22,1990,5,145,CanESM2,478232.49,8.5,Feb,1996
1990,12,9,1991,3,70,HadGEM2-CC,288100.6,8.5,Dec,1996
1993,3,3,1993,6,154,CMCC-CMS,320569.54,8.5,Mar,1996
1994,3,16,1994,6,167,CanESM2,287162.79,8.5,Mar,1996
1995,2,16,1995,5,139,GFDL-CM3,280354.99,8.5,Feb,1996
1997,2,9,1997,5,132,CNRM-CM5,317866.22,8.5,Feb,1996
1998,2,16,1998,5,139,ACCESS1-0,326393.62,8.5,Feb,1996
1999,2,25,1999,5,148,GFDL-CM3,272611.85,8.5,Feb,1996
2001,2,3,2001,5,126,CCSM4,300158.58,8.5,Feb,1996
2002,2,3,2002,5,126,MIROC5,464485.5,8.5,Feb,1996
2002,12,5,2003,3,66,GFDL-CM3,461963.79,8.5,Dec,1996
2005,1,19,2005,4,111,CESM1-BGC,559918.46,8.5,Jan,1996
2006,2,25,2006,5,148,CCSM4,478645.33,8.5,Feb,1996
2007,1,21,2007,4,113,CNRM-CM5,287288.43,8.5,Jan,1996
2009,1,27,2009,4,119,MIROC5,338747.44,8.5,Jan,1996
2010,3,14,2010,6,165,CCSM4,372269.42,8.5,Mar,1996
2035,1,27,2035,4,119,CNRM-CM5,489632.3,8.5,Jan,2050
2037,2,18,2037,5,141,ACCESS1-0,285660.41,8.5,Feb,2050
2038,1,21,2038,4,113,CNRM-CM5,671284.31,8.5,Jan,2050
2039,1,4,2039,4,96,CNRM-CM5,457301.12,8.5,Jan,2050
2041,1,18,2041,4,110,GFDL-CM3,546282.68,8.5,Jan,2050
2042,3,3,2042,6,154,HadGEM2-CC,316129.56,8.5,Mar,2050
2043,3,14,2043,6,165,CMCC-CMS,407562.12,8.5,Mar,2050
2045,2,3,2045,5,126,CNRM-CM5,321902.19,8.5,Feb,2050
2046,1,26,2046,4,118,MIROC5,540826.06,8.5,Jan,2050
2047,1,19,2047,4,111,CNRM-CM5,692608.93,8.5,Jan,2050
2049,1,13,2049,4,105,CanESM2,576393.62,8.5,Jan,2050
2050,2,17,2050,5,140,CCSM4,435856.77,8.5,Feb,2050
2051,1,18,2051,4,110,CNRM-CM5,752748.31,8.5,Jan,2050
2053,1,18,2053,4,110,CanESM2,678527.83,8.5,Jan,2050
2054,1,14,2054,4,106,CMCC-CMS,374634.58,8.5,Jan,2050
2055,2,3,2055,5,126,CanESM2,552599.76,8.5,Feb,2050
2057,2,1,2057,5,124,CanESM2,531439.48,8.5,Feb,2050
2058,1,29,2058,4,121,CanESM2,454911.26,8.5,Jan,2050
2059,1,9,2059,4,101,CanESM2,446005.12,8.5,Jan,2050
2061,1,14,2061,4,106,CNRM-CM5,575764.03,8.5,Jan,2050
2062,1,27,2062,4,119,CanESM2,438041.83,8.5,Jan,2050
2063,1,25,2063,4,117,CanESM2,823021.8,8.5,Jan,2050
2070,2,3,2070,5,126,CNRM-CM5,669982.11,8.5,Feb,2085
2071,1,13,2071,4,105,CanESM2,596817.28,8.5,Jan,2085
2073,2,12,2073,5,135,CanESM2,663711.7,8.5,Feb,2085
2074,1,30,2074,4,122,CanESM2,658390.12,8.5,Jan,2085
2075,2,3,2075,5,126,CMCC-CMS,492937.91,8.5,Feb,2085
2077,1,30,2077,4,122,CCSM4,560386.02,8.5,Jan,2085
2078,1,8,2078,4,100,CCSM4,386308.78,8.5,Jan,2085
2079,1,19,2079,4,111,CanESM2,568526.41,8.5,Jan,2085
2081,2,3,2081,5,126,CCSM4,553765.7,8.5,Feb,2085
2082,1,18,2082,4,110,CanESM2,893939.15,8.5,Jan,2085
2083,2,3,2083,5,126,CanESM2,497395.98,8.5,Feb,2085
2085,1,25,2085,4,117,CanESM2,701694.6,8.5,Jan,2085
2086,1,27,2086,4,119,CanESM2,815312.91,8.5,Jan,2085
2087,1,28,2087,4,120,CNRM-CM5,727003.69,8.5,Jan,2085
2089,1,14,2089,4,106,CanESM2,718142.35,8.5,Jan,2085
2090,1,26,2090,4,118,CanESM2,817891.45,8.5,Jan,2085
2091,2,1,2091,5,124,CNRM-CM5,686582.57,8.5,Feb,2085
2093,1,9,2093,4,101,CanESM2,864191.08,8.5,Jan,2085
2094,1,9,2094,4,101,CNRM-CM5,686325.89,8.5,Jan,2085
2095,1,16,2095,4,108,CanESM2,890958.81,8.5,Jan,2085
2097,1,25,2097,4,117,MIROC5,560342.33,8.5,Jan,2085
2098,1,23,2098,4,115,HadGEM2-CC,727084.05,8.5,Jan,2085
2099,2,6,2099,5,129,CNRM-CM5,616925.42,8.5,Feb,2085
