Year,Month,Day,water_year,water_month,water_day,model,flow,rcp,month_name
2028,8,5,2028,11,310,HadGEM2-ES,23005.75,8.5,Aug
2032,1,8,2032,4,100,HadGEM2-ES,112961.23,8.5,Jan
2032,1,26,2032,4,118,CanESM2,377101.53,8.5,Jan
2032,1,27,2032,4,119,CMCC-CMS,260001.04,8.5,Jan
2032,1,31,2032,4,123,ACCESS1-0,151105.96,8.5,Jan
2032,2,2,2032,5,125,CESM1-BGC,146590.43,8.5,Feb
2032,2,3,2032,5,126,HadGEM2-CC,311304.67,8.5,Feb
2032,2,4,2032,5,127,GFDL-CM3,115233.13,8.5,Feb
2032,2,18,2032,5,141,MIROC5,338283.47,8.5,Feb
2032,3,6,2032,6,158,CNRM-CM5,375871.43,8.5,Mar
2032,3,10,2032,6,162,CCSM4,111587.55,8.5,Mar
2035,12,18,2036,3,79,ACCESS1-0,84853.56,8.5,Dec
2035,12,28,2036,3,89,HadGEM2-ES,331512.14,8.5,Dec
2036,1,17,2036,4,109,CanESM2,74703.32,8.5,Jan
2036,2,3,2036,5,126,CNRM-CM5,399984.08,8.5,Feb
2036,2,29,2036,5,152,CESM1-BGC,169470.84,8.5,Feb
2036,3,6,2036,6,158,MIROC5,314210.21,8.5,Mar
2036,3,12,2036,6,164,CMCC-CMS,111362.69,8.5,Mar
2036,3,19,2036,6,171,HadGEM2-CC,192073.81,8.5,Mar
2036,4,20,2036,7,203,GFDL-CM3,272523.55,8.5,Apr
2036,4,25,2036,7,208,CCSM4,126385.87,8.5,Apr
2039,12,16,2040,3,77,ACCESS1-0,226574.89,8.5,Dec
2039,12,30,2040,3,91,HadGEM2-ES,196760.3,8.5,Dec
2040,1,1,2040,4,93,MIROC5,216152.71,8.5,Jan
2040,1,15,2040,4,107,GFDL-CM3,192540.51,8.5,Jan
2040,1,18,2040,4,110,CMCC-CMS,275591.32,8.5,Jan
2040,2,6,2040,5,129,CCSM4,307620.47,8.5,Feb
2040,2,10,2040,5,133,CESM1-BGC,273396.64,8.5,Feb
2040,2,14,2040,5,137,HadGEM2-CC,185527.99,8.5,Feb
2040,3,3,2040,6,155,CanESM2,144717.54,8.5,Mar
2040,3,26,2040,6,178,CNRM-CM5,70067.11,8.5,Mar
2044,1,10,2044,4,102,GFDL-CM3,233420.58,8.5,Jan
2044,1,18,2044,4,110,CNRM-CM5,266490.83,8.5,Jan
2044,2,16,2044,5,139,MIROC5,84495.15,8.5,Feb
2044,2,19,2044,5,142,CanESM2,192910.47,8.5,Feb
2044,2,20,2044,5,143,CCSM4,88690.25,8.5,Feb
2044,2,21,2044,5,144,CESM1-BGC,82087.89,8.5,Feb
2044,3,2,2044,6,154,HadGEM2-CC,54020.09,8.5,Mar
2044,3,24,2044,6,176,ACCESS1-0,66507.9,8.5,Mar
2044,3,29,2044,6,181,CMCC-CMS,177241.07,8.5,Mar
2044,4,4,2044,7,187,HadGEM2-ES,149371.9,8.5,Apr
2015,1,18,2015,4,110,CanESM2,220747.6,8.5,Jan
2015,1,21,2015,4,113,ACCESS1-0,152459.33,8.5,Jan
2015,1,21,2015,4,113,GFDL-CM3,24249.03,8.5,Jan
2015,1,26,2015,4,118,CNRM-CM5,300188.65,8.5,Jan
2015,2,21,2015,5,144,HadGEM2-ES,213939.83,8.5,Feb
2015,2,25,2015,5,148,CMCC-CMS,128919.82,8.5,Feb
2015,3,19,2015,6,170,HadGEM2-CC,117173.3,8.5,Mar
2015,3,26,2015,6,177,CESM1-BGC,175710.53,8.5,Mar
2015,3,31,2015,6,182,MIROC5,169676.56,8.5,Mar
2015,5,15,2015,8,227,CCSM4,25430.58,8.5,May
2017,1,15,2017,4,107,CMCC-CMS,201508.23,8.5,Jan
2017,1,15,2017,4,107,GFDL-CM3,228698.51,8.5,Jan
2017,2,9,2017,5,132,ACCESS1-0,36831.23,8.5,Feb
2017,2,13,2017,5,136,CNRM-CM5,219216.69,8.5,Feb
2017,3,2,2017,6,153,CESM1-BGC,77083.53,8.5,Mar
